3051k  110.185.199.139:8888
1186k  171.213.131.31:8088
1181k  125.71.189.207:8008
1171k  118.113.179.98:4022
1157k  171.213.193.122:8088
1138k  118.114.208.255:8888
1036k  171.213.194.59:888
965k  171.213.198.47:8000
887k  171.221.41.243:9999
854k  171.221.81.238:8000
837k  110.185.65.129:4443
627k  118.112.90.27:4000
164k  125.71.157.243:6666
