1306k  115.201.186.133:9999
1253k  60.189.106.125:9999
1245k  115.239.104.249:9999
1147k  183.141.216.199:9999
1121k  183.156.44.160:8686
1072k  183.159.225.140:9999
1068k  125.125.135.108:8881
1039k  115.230.186.247:9999
1016k  183.129.123.23:4022
1005k  60.185.7.163:9999
964k  183.157.29.178:4022
854k  183.130.2.188:8889
782k  183.144.23.39:8088
