1943k  116.227.41.142:8888
1800k  58.32.43.246:4022
1283k  58.32.24.157:8888
1229k  222.68.66.72:5678
1206k  222.67.15.42:10010
1157k  222.64.214.39:8899
1154k  101.83.173.63:9999
1147k  101.81.117.215:8888
1143k  222.64.125.110:58888
749k  222.67.66.128:5555
643k  116.226.12.212:8888
246k  218.78.180.226:9999
