1071k  183.188.195.213:8000
998k  60.220.167.229:8085
996k  183.188.23.36:6001
994k  60.220.167.37:8085
993k  221.205.181.41:8002
993k  183.188.195.213:7000
985k  60.220.167.43:8085
980k  60.223.72.247:8003
980k  183.184.231.28:8003
980k  171.116.226.246:8085
978k  118.79.7.128:6000
977k  183.184.231.28:8002
976k  221.205.181.41:8001
972k  183.190.99.54:8000
970k  221.205.181.41:8005
970k  183.185.12.105:8085
968k  183.185.12.105:8083
966k  183.184.231.28:8004
961k  118.79.7.143:6000
960k  171.118.120.38:8085
950k  124.163.23.24:6001
887k  124.165.112.159:8085
852k  171.120.110.84:8085
825k  221.205.92.72:8085
594k  183.185.13.182:8085
519k  171.120.110.84:8084
512k  221.205.44.175:7000
484k  171.118.210.13:8085
385k  183.185.120.232:8085
255k  183.185.66.58:8085
193k  171.120.109.195:8085
167k  183.185.67.237:8085
128k  60.220.167.49:8085
110k  171.116.36.145:8085
