995k  113.102.162.171:4022
994k  183.51.190.149:6633
994k  116.28.99.78:8888
992k  183.51.190.223:6633
976k  183.29.197.170:8686
976k  14.117.234.223:9000
976k  116.23.136.92:4000
975k  183.31.9.241:9001
974k  58.63.66.151:8888
842k  119.134.3.124:8888
792k  119.134.3.142:8888
594k  121.13.85.94:8000
266k  183.236.43.98:4014
